Species,Project,Run,Recovery Site,CU Index (Recovery Site),CU Name (Recovery Site),Waterbody ID (Recovery Site),Latitude (Recovery Site),Longitude (Recovery Site),Recovery Year,Sex/Maturity,01Used For Broodstock,02Loaded Into Spawning Channel,03Given To First Nations (FSC),04Excess To Spawning Req (ESSR),05Sold,06Holding Mortalities,07Used For Other Purposes/Other Mortalities,08Est Of First Nations Fishery (FSC),09Est Of Sport Fishery,10Captive Used For Broodstock,21Sampled For Marks And Released Above Fence,21Sampled For Marks And Released Below Fence,21Sampled For Marks And Released Total River,22Counted But Not Sampled Above Fence,22Counted But Not Sampled Below Fence,22Counted But Not Sampled Total River,23Additional Hatchery Estimate Above Fence,23Additional Hatchery Estimate Below Fence,23Additional Hatchery Estimate Total River,24Dead Pitch - Usable Count Above Fence,24Dead Pitch - Usable Count Below Fence,24Dead Pitch - Usable Count Total River,29StAD Estimate Above Fence,29StAD Estimate Below Fence,29StAD Estimate Total River
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2013,Female,83,,,,,23,4,,,,,,29,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2013,Jack,,,,,,2,,,,,,,,,,,,,,,,,,,39
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2014,Unsexed Adult,,,,,,,,,,,,,,,,,,,,,,,,,384
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2014,Male,42,,,,,11,13,,,,,,7,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2014,Female,41,,,,,3,,,,,,,,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2014,Jack,,,,,,14,7,,,,,,,,,,,,,,,,,,124
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2015,Unsexed Adult,,,,,,,,,,,,,302,,,,,,,,,,,,2517
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2015,Male,103,,,,,24,7,,,,,,,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2015,Female,103,,,,,18,5,,,,,,,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2015,Jack,,,,,,,25,,,,,,,,,,,,,,,,,,55
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2016,Unsexed Adult,,,,,,,,,,,,,,,,,,,,,,,,,2968
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2016,Male,106,,,,,24,21,,,,,,215,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2016,Female,102,,,,,26,23,,,,,,17,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2016,Jack,,,,,,,,,,,,,,,,,,,,,,,,,609
